Disease,Best_Foods,Worst_Foods,Best_Nutrition,Worst_Nutrition
primary pigmented nodular adrenocortical disease 3,"['chicken', 'green olives', 'paprika']","['frozen hash brown potatoes', 'onions']","['high calcium', 'high potassium', 'low carbohydrate']","['high calories', 'low protein']"
autosomal recessive nonsyndromic deafness 62,"['corned beef', 'mayonnaise', 'salad dressing']","['bacon', 'beef']","['high fiber', 'high protein', 'high vitamin c']","['high calories', 'high total fats']"
combined oxidative phosphorylation deficiency 46,"['bread crumbs', 'frozen broccoli']","['canning salt', 'green beans', 'sugar']","['high calcium', 'high fiber']","['high calories', 'high carbohydrate', 'high cholesterol']"
mosaic variegated aneuploidy syndrome 7 with inflammation and tumor predisposition,"['apricot', 'onion soup', 'salad dressing']","['margarine', 'potatoes']","['high potassium', 'high vitamin c', 'low carbohydrate']","['high cholesterol', 'low fiber']"
relapsing fever,"['green pepper', 'pepper', 'salt']","['paprika', 'vegetables']","['high iron', 'high potassium']","['high cholesterol', 'high total fats']"
bone peripheral neuroepithelioma,"['dill pickles', 'garlic', 'sugar']","['flour', 'vinegar']","['high fiber', 'high potassium', 'high protein']","['high sodium', 'low vitamin c']"
tuberculoid leprosy,"['condensed cream', 'dill weed']","['eggs', 'garlic powder']","['high magnesium', 'low cholesterol', 'low total fats']","['high calories', 'high sodium']"
familial adult myoclonic epilepsy 6,"['butter', 'onion', 'stuffing mix']","['chili powder', 'oregano', 'salt']","['high iron', 'high magnesium', 'high protein']","['high carbohydrate', 'high sodium', 'low calcium']"
retinal vascular disease,"['mushroom soup', 'turkey drumsticks']","['bread crumbs', 'egg']","['high fiber', 'high vitamin c']","['low iron', 'low magnesium']"
congenital disorder of glycosylation type IIw,"['chicken bouillon', 'onion powder', 'thin strips summer squash']","['cheddar cheese', 'parsley', 'steak sauce']","['high calcium', 'low carbohydrate', 'low total fats']","['high sodium', 'low magnesium']"
malignant giant cell tumor of the tendon sheath,"['flour', 'salt']","['cauliflower', 'head lettuce', 'sugar']","['high fiber', 'high potassium', 'low total fats']","['high cholesterol', 'low protein']"
inflammatory poikiloderma with hair abnormalities and acral keratoses,"['celery', 'northern beans', 'onion']","['olive oil', 'red potatoes', 'rosemary sprigs']","['high potassium', 'low carbohydrate', 'low total fats']","['high cholesterol', 'low calcium', 'low protein']"
nonsyndromic congenital nail disorder 1,"['cheddar cheese', 'green onion', 'green pepper']","['garlic salt', 'tomato sauce']","['high iron', 'high potassium']","['high calories', 'low protein']"
ethmoid sinus squamous cell carcinoma,"['ground beef', 'macaroni']","['butter', 'green onion', 'parmesan cheese']","['high iron', 'low calories']","['low magnesium', 'low potassium', 'low vitamin c']"
syndactyly-telecanthus-anogenital and renal malformations syndrome,"['flour', 'hamburger', 'shortening']","['eggs', 'onions', 'salad oil']","['high fiber', 'high protein', 'low sodium']","['high cholesterol', 'low iron']"
orofaciodigital syndrome IX,"['burgundy', 'salt']","['caps vinegar', 'neckbones', 'salt']","['high calcium', 'high magnesium', 'low total fats']","['high carbohydrate', 'low fiber', 'low potassium']"
peeling skin syndrome 5,"['cheese', 'chicken breasts']","['bread crumbs', 'celery salt', 'pepper']","['high fiber', 'low total fats']","['low calcium', 'low iron']"
dopa-responsive dystonia,"['eggs', 'green chili peppers', 'ground pork sausage']","['green peppers', 'pepperoni', 'sausage']","['high calcium', 'high magnesium', 'low total fats']","['high calories', 'low potassium', 'low protein']"
X-linked warfarin sensitivity,"['green pepper', 'salt']","['cauliflower', 'cream cheese', 'crescent rolls']","['high potassium', 'high vitamin c']","['high sodium', 'low iron', 'low magnesium']"
cataract 45,"['butter', 'celery']","['bacon', 'chives']","['high magnesium', 'low cholesterol', 'low total fats']","['high calories', 'low fiber', 'low iron']"
testicular non-seminomatous germ cell cancer,"['honey', 'triscuits wafers']","['carrots', 'green bell pepper', 'salt']","['high magnesium', 'high protein', 'low calories']","['high cholesterol', 'low iron', 'low potassium']"
Fanconi anemia complementation group P,"['cornstarch', 'green onions', 'soy sauce']","['chicken bouillon', 'mushrooms']","['high calcium', 'low sodium']","['high calories', 'low iron']"
congenital generalized lipodystrophy type 1,"['cheddar cheese', 'onion']","['onion', 'salt', 'tomatoes']","['high iron', 'low cholesterol', 'low sodium']","['high total fats', 'low protein']"
leiomyoma cutis,"['carrot', 'chicken broth', 'ricotta cheese']","['butter', 'grated monterey']","['low carbohydrate', 'low cholesterol']","['high sodium', 'low iron', 'low protein']"
cervical squamous cell carcinoma,"['clove garlic', 'mushrooms']","['bread', 'cream cheese', 'kosher dill pickles']","['low cholesterol', 'low sodium']","['low magnesium', 'low protein']"
acromesomelic dysplasia 3,"['boneless pork', 'salt']","['buns', 'chili powder', 'salt']","['high calcium', 'high magnesium', 'high vitamin c']","['high carbohydrate', 'high sodium', 'low protein']"
multiple endocrine neoplasia type 2B,"['milk', 'onion']","['chicken', 'orange']","['high potassium', 'low sodium', 'low total fats']","['high calories', 'low fiber', 'low iron']"
mechanical ectropion,"['gelatin', 'white grape juice']","['regular rice', 'salt', 'water']","['high calcium', 'low sodium']","['high carbohydrate', 'high cholesterol', 'low fiber']"
microscopic colitis,"['bread', 'potato', 'tomato']","['fryer', 'margarine']","['high calcium', 'low calories', 'low total fats']","['low potassium', 'low vitamin c']"
uterine adnexa cancer,"['frozen', 'garlic salt']","['flour', 'grated cheese']","['high vitamin c', 'low cholesterol', 'low sodium']","['high carbohydrate', 'low protein']"
intracranial arterial disease,"['beans', 'onion']","['carrots', 'red potatoes']","['high fiber', 'high vitamin c', 'low cholesterol']","['high calories', 'high carbohydrate']"
rete testis neoplasm,"[""'s mayonnaise"", 'turkey', 'water']","['fresh scallops', 'pepper', 'salt']","['high iron', 'low carbohydrate']","['high sodium', 'low calcium', 'low vitamin c']"
streptococcal meningitis,"['chicken', 'salt']","['olive', 'onion', 'parsley']","['high iron', 'high magnesium', 'high potassium']","['high cholesterol', 'low calcium', 'low fiber']"
Timothy syndrome,"['oleo', 'pork sausage', 'salt']","['cube steak', 'mushroom soup']","['high calcium', 'low carbohydrate', 'low total fats']","['high calories', 'low magnesium']"
chromosome 1p36 deletion syndrome,"['beets', 'mayonnaise']","['clove garlic', 'water']","['high potassium', 'low sodium']","['high cholesterol', 'low iron']"
chronic duodenal ileus,"['bacon', 'green olives']","['bread crumbs', 'pepper']","['high iron', 'low carbohydrate', 'low total fats']","['low calcium', 'low protein']"
bone carcinoma,"['hot sauce', 'soy sauce', 'vegetable oil']","['canola oil', 'lean pork loin', 'soy sauce']","['high fiber', 'high potassium', 'high protein']","['high calories', 'low magnesium']"
apocrine adenoma,"['carrots', 'orange', 'salt']","['salt', 'shrimp boil']","['high calcium', 'low sodium']","['high cholesterol', 'low fiber', 'low iron']"
autosomal recessive nonsyndromic deafness 17,"['tomato soup', 'vinegar']","['butter', 'horseradish', 'salt']","['high magnesium', 'high potassium', 'high protein']","['high calories', 'high total fats', 'low fiber']"
congenital dyserythropoietic anemia type Ia,"['green pepper', 'tomato sauce']","['fresh pork', 'poultry seasoning', 'salt']","['high calcium', 'high protein']","['high cholesterol', 'low fiber', 'low iron']"
myeloid and lymphoid neoplasms associated with FGFR1 abnormalities,"['bread crumbs', 'celery salt', 'salt']","['green peppers', 'sugar']","['high calcium', 'low carbohydrate']","['high sodium', 'low potassium']"
autosomal dominant distal hereditary motor neuronopathy,"['ground ham', 'ground pork', 'salt']","['brandy', 'orange juice', 'water']","['low calories', 'low carbohydrate']","['low fiber', 'low iron', 'low vitamin c']"
distal arthrogryposis type 1,"['green onions', 'yellow hominy']","['beans', 'vienna']","['high fiber', 'high vitamin c']","['high carbohydrate', 'high cholesterol', 'low calcium']"
cone-rod dystrophy 13,"['brown gravy', 'cross strain venison', 'vegetable oil']","['onions', 'salt', 'vinegar']","['high fiber', 'high iron', 'high potassium']","['high carbohydrate', 'low calcium']"
amyotrophic lateral sclerosis type 4,"['carrots', 'potatoes', 'salt']","['mushrooms', 'onion', 'water']","['high magnesium', 'high potassium', 'low sodium']","['high calories', 'high carbohydrate', 'low fiber']"
osteoporosis-pseudoglioma syndrome,"['ketchup', 'marjoram', 'paprika']","['oil', 'tomatoes']","['high magnesium', 'high protein', 'low cholesterol']","['high total fats', 'low calcium', 'low potassium']"
chromosome 5q12 deletion syndrome,"['ground beef', 'sausage', 'velveeta cheese']","['pork shoulder', 'sauce', 'water']","['high protein', 'low carbohydrate']","['high cholesterol', 'low calcium', 'low iron']"
hypotrichosis 6,"['pistachios', 'ricotta cheese']","['cooking oil', 'noodles']","['high protein', 'low cholesterol']","['low fiber', 'low vitamin c']"
bilateral hypoactive labyrinth,"['cumin powder', 'margarine']","['freshly ground pepper', 'parsley']","['high protein', 'low calories']","['high carbohydrate', 'high total fats']"
dilated cardiomyopathy 1E,"['stalks celery', 'white onion']","['eggs', 'potatoes', 'red onion']","['high magnesium', 'high vitamin c', 'low total fats']","['high calories', 'high cholesterol', 'low fiber']"
Laurence-Moon syndrome,"['egg', 'salt']","['olive', 'season', 'water']","['high potassium', 'low carbohydrate']","['high cholesterol', 'high total fats', 'low fiber']"
thrombosis,"['coconut milk', 'garlic']","['cream of chicken soup', 'margarine', 'turkey']","['high calcium', 'high iron']","['high carbohydrate', 'high cholesterol', 'high sodium']"
partial androgen insensitivity syndrome,"['green pepper', 'tomato sauce']","['stew meat', 'water']","['high magnesium', 'low total fats']","['high carbohydrate', 'high cholesterol', 'low iron']"
trimellitic anhydride allergic asthma,"['salt', 'thyme']","['shortening', 'tomatoes', 'water']","['high vitamin c', 'low calories', 'low carbohydrate']","['high sodium', 'low calcium', 'low potassium']"
psoriasis 12,"['dill weed', 'oyster crackers', 'salad dressing']","['chili powder', 'onion salt', 'potatoes']","['high potassium', 'low calories', 'low sodium']","['low calcium', 'low iron', 'low magnesium']"
myxopapillary ependymoma,['crescent rolls'],"['margarine', 'onion salt']","['high fiber', 'high magnesium', 'low calories']","['high carbohydrate', 'high sodium']"
photokeratitis,"['cream of chicken soup', 'full of rice']","['carrot', 'stalks green onions']","['high iron', 'high vitamin c']","['high cholesterol', 'low calcium', 'low fiber']"
bilateral retinoblastoma,"['butter', 'stalks celery']","['parmesan cheese', 'salt', 'tomato sauce']","['high fiber', 'low calories', 'low total fats']","['low calcium', 'low magnesium']"
Kuhnt-Junius degeneration,"['milk', 'powdered sugar']","['butter', 'pepper', 'salt']","['high potassium', 'low calories', 'low total fats']","['high cholesterol', 'low fiber']"
sinoatrial node disease,"['onion', 'salad dressing', 'tomatoes']","['ground beef', 'water']","['high fiber', 'low calories']","['high sodium', 'low calcium', 'low magnesium']"
autoimmune disease of central nervous system,"['cracker crumbs', 'fish fillets', 'french dressing']","['pork chops', 'salt']","['high protein', 'high vitamin c', 'low total fats']","['high carbohydrate', 'low iron']"
scabies,"['paprika', 'salt', 'sour cream']","['salt', 'sugar', 'tomato paste']","['high fiber', 'high vitamin c']","['high calories', 'high total fats', 'low potassium']"
hereditary ataxia,"['mushrooms', 'onion']","['cheese', 'salad oil']","['high calcium', 'high potassium', 'low sodium']","['high carbohydrate', 'low magnesium']"
MELAS syndrome,"['cream of chicken soup', 'sherry', 'sour cream']","['blackberry pie filling', 'cream cheese']","['high vitamin c', 'low calories']","['high cholesterol', 'high sodium', 'low potassium']"
photosensitive epilepsy,"['flour', 'parsley', 'refrigerator biscuits']","['flour', 'frozen broccoli', 'pepper']","['high iron', 'low sodium', 'low total fats']","['low potassium', 'low vitamin c']"
retinal vein occlusion,"['carrots', 'celery']","['eggs', 'powdered sugar']","['high potassium', 'low total fats']","['high sodium', 'low iron', 'low protein']"
keratinizing squamous cell carcinoma,"['onion', 'potatoes']","['eggs', 'salt', 'shrimp']","['low calories', 'low cholesterol']","['high total fats', 'low calcium', 'low fiber']"
lung lymphoma,"['long grain white rice', 'salt']","['broccoli flowerets', 'sugar', 'water chestnuts']","['high protein', 'low calories']","['high cholesterol', 'high sodium']"
primary ovarian insufficiency 15,"['egg', 'flour', 'ricotta cheese']","['turnips', 'vinegar']","['high protein', 'low carbohydrate', 'low sodium']","['high cholesterol', 'low fiber']"
retinitis pigmentosa 75,"['margarine', 'realemon juice']","['cooking rice', 'corn chips', 'garlic salt']","['low cholesterol', 'low total fats']","['low fiber', 'low magnesium', 'low vitamin c']"
immunodeficiency 62,"['potatoes', 'tortilla chips']","['grated cheese', 'macaroni', 'water']","['high potassium', 'low calories', 'low carbohydrate']","['high sodium', 'low iron', 'low vitamin c']"
female-restricted syndromic X-linked intellectual disability 99,"['catsup', 'ground beef', 'pork']","['beef', 'green beans']","['low calories', 'low sodium']","['low calcium', 'low vitamin c']"
large cell carcinoma,"['cherry tomatoes', 'farmer cheese', 'turkey']","['alfredo sauce', 'fresh broccoli flowerets', 'frozen snow']","['high vitamin c', 'low calories']","['high sodium', 'low protein']"
dysentery,"['fresh scallops', 'sherry']","['green onions', 'lemon juice', 'soy sauce']","['high protein', 'low sodium', 'low total fats']","['low iron', 'low magnesium']"
"intellectual developmental disorder with hypotonia, impaired speech, and dysmorphic facies","['apples', 'black pepper']","['mandarin juice', 'nonfat plain yogurt']","['high fiber', 'low total fats']","['high calories', 'low protein']"
